US01M,US02Y,US03MY,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,VIX,DJT,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,VIX,VIX3M,VIX9D,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,VIXM/VIXY,XLY*XLK/(XLP*XLU),ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,6A1!,6B1!,6C1!,6E1!,6J1!,6S1!,CL1!,CL2!,HG1!,PL1!,SI1!,GC1!,ES1!,NG1!,YM1!,RTY1!,ZT1!,ZF1!,ZN1!,ZB1!,UB1!,RB1!,RB2!
5.28,5.026,5.432,4.637,4.622,4.966,4.768,5.33,15.3,14280.26,82.7,33.545,101.08,175.18,68.51,60.02,125.565,158.66,15.3,17.27,14.53,0.932846,1.097584,-322,-139.0,-438.0,-11,400,-12903044.0,0.06317119393556538,0.8965183752417795,6.7593045299793255,-463.0,-963.0,0.6307692307692307,0.63815,1.2228,0.72455,1.06875,0.0066475,1.11115,75.56,75.6,3.63,862.9,22.675,1964.4,4365.5,3.049,33969.0,1695.0,101.28515625,105.1015625,107.515625,113.0,116.96875,2.1591,2.1337
5.28,5.026,5.432,4.637,4.622,4.966,4.768,5.33,15.25,14281.46,82.69,33.545,101.08,175.16,68.51,60.01,125.565,158.65,15.25,17.27,14.53,0.929225,1.09693,-322,-137.0,-427.0,-11,400,-12917464.0,0.06313131313131314,0.8965183752417795,6.760430893007152,-463.0,-964.0,0.6309377504675394,0.63815,1.2228,0.72455,1.06885,0.0066475,1.11115,75.56,75.6,3.631,862.9,22.68,1964.5,4365.5,3.049,33969.0,1695.1,101.28515625,105.1015625,107.515625,113.0,116.96875,2.1591,2.1337
5.28,5.029,5.432,4.64,4.626,4.971,4.772,5.33,15.3,14282.01,82.69,33.55,101.1,175.15,68.51,60.01,125.57,158.645,15.3,17.27,14.53,0.929225,1.09693,-322,-85.0,-406.0,-11,400,-13007205.0,0.06317119393556538,0.8960850652489124,6.759730554467539,-465.0,-960.0,0.6308522575474219,0.63825,1.2229,0.72455,1.0689,0.006648,1.11115,75.55,75.6,3.6315,863.0,22.68,1964.6,4366.25,3.049,33971.0,1695.3,101.2890625,105.1015625,107.515625,113.0,117.0,2.1591,2.1337
5.28,5.026,5.432,4.64,4.626,4.971,4.772,5.33,15.25,14282.23,82.7,33.55,101.1,175.18,68.51,60.02,125.59,158.67,15.25,17.28,14.53,0.929225,1.09693,-322,-99.0,-303.0,-11,400,-12983816.0,0.06317119393556538,0.8960850652489124,6.759730554467539,-465.0,-949.0,0.6310208444681988,0.6382,1.2229,0.72455,1.06885,0.006648,1.1113,75.55,75.59,3.631,863.0,22.675,1964.4,4365.5,3.049,33967.0,1695.3,101.2890625,105.09375,107.5,112.96875,116.9375,2.1591,2.1337
5.28,5.026,5.432,4.64,4.626,4.971,4.772,5.33,15.31,14282.16,82.7,33.55,101.09,175.18,68.51,60.01,125.585,158.67,15.31,17.28,14.53,0.929225,1.09693,-322,-98.0,-343.0,-11,400,-13001763.0,0.06317119393556538,0.8960850652489124,6.760856988487614,-465.0,-950.0,0.6310208444681988,0.6382,1.2229,0.72455,1.0689,0.006648,1.1113,75.55,75.59,3.631,863.0,22.68,1964.4,4365.75,3.049,33969.0,1695.3,101.2890625,105.1015625,107.5,112.96875,116.9375,2.1591,2.1337
5.28,5.026,5.432,4.64,4.626,4.971,4.772,5.33,15.31,14282.16,82.7,33.55,101.09,175.18,68.51,60.01,125.585,158.67,15.31,17.28,14.53,0.929225,1.09693,-322,-98.0,-343.0,-11,400,-13001763.0,0.06317119393556538,0.8960850652489124,6.760856988487614,-465.0,-950.0,0.6310208444681988,0.6382,1.2229,0.72455,1.0689,0.006648,1.1113,75.55,75.59,3.631,863.0,22.68,1964.4,4365.75,3.049,33969.0,1695.3,101.2890625,105.09375,107.484375,112.9375,116.9375,2.1591,2.1337
5.28,5.026,5.432,4.64,4.626,4.971,4.772,5.33,15.3,14282.25,82.69,33.54,101.09,175.15,68.5,60.01,125.58,158.64,15.3,17.26,14.51,0.929225,1.09693,-322,-133.0,-382.0,-11,400,-13052145.0,0.06315124723713293,0.8960850652489124,6.759762335766423,-465.0,-958.0,0.6311039828922748,0.6381,1.2229,0.7245,1.06885,0.006648,1.11135,75.55,75.59,3.6305,862.8,22.675,1964.4,4364.25,3.049,33960.0,1694.5,101.2890625,105.09375,107.484375,112.9375,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.974,4.775,5.33,15.24,14282.5,82.68,33.54,101.06,175.08,68.5,60.0,125.55,158.6,15.24,17.26,14.51,0.929225,1.09693,-322,-193.0,-639.0,-11,400,-13301999.0,0.06305170239596469,0.8960850652489124,6.758057907542579,-467.0,-1011.0,0.631018444266239,0.6381,1.2228,0.7245,1.0688,0.006648,1.11135,75.55,75.59,3.6305,862.8,22.675,1964.4,4364.0,3.049,33957.0,1694.1,101.29296875,105.09375,107.5,112.96875,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.974,4.775,5.33,15.3,14282.46,82.68,33.53,101.06,175.06,68.5,60.0,125.54,158.6,15.3,17.26,14.51,0.929225,1.09693,-322,-207.0,-657.0,-11,400,-13441258.0,0.06299212598425197,0.8960850652489124,6.755356690997567,-466.0,-1018.0,0.631018444266239,0.6381,1.2228,0.7245,1.0688,0.006648,1.11135,75.56,75.6,3.6305,862.8,22.675,1964.4,4364.0,3.049,33958.0,1694.2,101.29296875,105.09375,107.5,112.96875,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.974,4.775,5.33,15.36,14282.65,82.69,33.53,101.07,175.06,68.5,60.0,125.55,158.56,15.36,17.26,14.49,0.929225,1.09693,-322,-207.0,-657.0,-11,400,-13494119.0,0.06299212598425197,0.8960850652489124,6.755356690997567,-466.0,-1018.0,0.631018444266239,0.6381,1.2228,0.7245,1.0688,0.006648,1.11135,75.56,75.6,3.6305,862.8,22.675,1964.6,4363.75,3.049,33957.0,1694.0,101.29296875,105.09375,107.5,112.96875,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.974,4.775,5.33,15.36,14282.46,82.69,33.53,101.08,175.06,68.5,60.01,125.55,158.54,15.36,17.26,14.49,0.929225,1.09693,-322,-201.0,-612.0,-11,400,-13466728.0,0.06297229219143577,0.8960850652489124,6.751675791261068,-466.0,-1031.0,0.630975674953221,0.6381,1.2228,0.7245,1.06875,0.006648,1.1113,75.55,75.6,3.6305,862.8,22.675,1964.6,4363.5,3.049,33956.0,1694.0,101.29296875,105.09375,107.5,112.96875,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.978,4.779,5.33,15.36,14282.33,82.69,33.53,101.07,175.06,68.5,60.01,125.55,158.54,15.36,17.26,14.49,0.929225,1.09693,-322,-191.0,-606.0,-11,400,-13525027.0,0.06293266205160478,0.8960850652489124,6.751675791261068,-466.0,-1027.0,0.6309329056402032,0.6381,1.2227,0.7245,1.06875,0.006648,1.1113,75.55,75.6,3.6305,862.8,22.675,1964.6,4364.0,3.047,33959.0,1694.2,101.29296875,105.09375,107.484375,112.96875,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.978,4.779,5.33,15.36,14282.02,82.69,33.53,101.07,175.07,68.5,60.02,125.54,158.54,15.36,17.26,14.49,0.929225,1.09693,-322,-196.0,-584.0,-11,400,-13548060.0,0.06297229219143577,0.8934939759036145,6.750936500485239,-466.0,-1034.0,0.6309329056402032,0.6381,1.2227,0.7245,1.06875,0.006648,1.1113,75.55,75.6,3.6305,862.8,22.675,1964.6,4364.25,3.047,33962.0,1694.3,101.29296875,105.09375,107.484375,112.96875,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.644,4.63,4.978,4.779,5.33,15.36,14281.98,82.695,33.53,101.08,175.07,68.5,60.02,125.54,158.54,15.36,17.25,14.5,0.929225,1.09693,-322,-179.0,-580.0,-11,400,-13509020.0,0.06295247088448222,0.8934939759036145,6.750936500485239,-465.0,-1024.0,0.6309329056402032,0.6381,1.2227,0.7245,1.06875,0.006648,1.1113,75.56,75.6,3.6305,862.8,22.675,1964.6,4364.25,3.047,33958.0,1694.2,101.29296875,105.09375,107.484375,112.9375,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.36,14281.68,82.69,33.53,101.06,175.03,68.5,60.01,125.54,158.5,15.36,17.25,14.5,0.928891,1.096718,-322,-203.0,-621.0,-11,400,-13537292.0,0.06289308176100629,0.8934939759036145,6.748389793915127,-465.0,-1033.0,0.6309329056402032,0.6381,1.2227,0.7245,1.06875,0.006648,1.1113,75.56,75.6,3.6305,862.8,22.675,1964.6,4364.0,3.048,33959.0,1694.2,101.2890625,105.09375,107.484375,112.9375,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.36,14281.34,82.69,33.53,101.04,175.02,68.5,60.01,125.54,158.48,15.36,17.25,14.5,0.928891,1.096718,-322,-221.0,-687.0,-11,400,-13567294.0,0.06289308176100629,0.8934939759036145,6.747578469281885,-466.0,-1077.0,0.6308901363271852,0.6381,1.2227,0.7245,1.0687,0.006648,1.1113,75.56,75.6,3.6305,862.8,22.675,1964.6,4364.0,3.046,33959.0,1694.2,101.2890625,105.0859375,107.484375,112.9375,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.38,14281.09,82.69,33.53,101.06,175.02,68.5,60.01,125.54,158.49,15.38,17.27,14.53,0.928891,1.096718,-322,-177.0,-595.0,-11,400,-13535135.0,0.06289308176100629,0.8934939759036145,6.748004237736534,-466.0,-1072.0,0.6309329056402032,0.6381,1.2227,0.7245,1.0687,0.006648,1.1113,75.56,75.6,3.6305,862.8,22.675,1964.6,4364.5,3.046,33962.0,1694.5,101.2890625,105.09375,107.484375,112.9375,116.90625,2.1591,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.38,14281.9,82.67,33.53,101.06,175.02,68.5,60.01,125.54,158.5,15.38,17.27,14.53,0.928891,1.096718,-322,-194.0,-575.0,-11,400,-13527240.0,0.06291286568103177,0.8934939759036145,6.7484300061911835,-464.0,-1049.0,0.631187165775401,0.6381,1.2227,0.7245,1.0687,0.006648,1.1113,75.56,75.6,3.6305,862.8,22.675,1964.4,4364.75,3.046,33963.0,1694.7,101.2890625,105.0859375,107.484375,112.9375,116.875,2.158,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.34,14281.92,82.67,33.53,101.06,175.03,68.5,60.01,125.54,158.51,15.34,17.27,14.54,0.928891,1.096718,-322,-187.0,-581.0,-11,400,-13523571.0,0.06293266205160478,0.8934939759036145,6.749241379478116,-463.0,-1055.0,0.631187165775401,0.6381,1.2227,0.7245,1.0687,0.006648,1.1113,75.56,75.6,3.6305,862.8,22.675,1964.5,4364.75,3.046,33962.0,1694.6,101.2890625,105.09375,107.484375,112.9375,116.875,2.158,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.34,14282.06,82.67,33.525,101.06,175.02,68.5,60.02,125.54,158.49,15.34,17.27,14.54,0.928891,1.096718,-322,-107.0,-419.0,-11,400,-13455271.0,0.06291286568103177,0.8934939759036145,6.748582735195325,-462.0,-1051.0,0.631187165775401,0.63815,1.2227,0.72455,1.0687,0.006648,1.1113,75.56,75.59,3.631,862.8,22.675,1964.6,4365.0,3.046,33964.0,1694.7,101.29296875,105.09375,107.484375,112.9375,116.875,2.1584,2.1337
5.28,5.029,5.432,4.647,4.634,4.978,4.779,5.33,15.34,14282.34,82.68,33.53,101.07,175.04,68.5,60.02,125.56,158.54,15.34,17.27,14.54,0.928891,1.096718,-322,-86.0,-357.0,-11,400,-13413933.0,0.06293266205160478,0.8939247830279653,6.749394046266817,-460.0,-1022.0,0.631187165775401,0.63815,1.2228,0.7245,1.06865,0.006647,1.11125,75.56,75.59,3.631,862.8,22.67,1964.3,4364.25,3.046,33962.0,1694.1,101.28515625,105.0859375,107.484375,112.9375,116.875,2.1584,2.1333
5.28,5.029,5.432,4.647,4.634,4.975,4.779,5.33,15.34,14282.38,82.68,33.53,101.06,175.03,68.5,60.02,125.55,158.54,15.34,17.27,14.54,0.928891,1.096718,-322,-114.0,-408.0,-11,400,-13373616.0,0.06289308176100629,0.8934939759036145,6.749394046266817,-460.0,-1021.0,0.631187165775401,0.6381,1.2228,0.7245,1.06865,0.006647,1.11125,75.56,75.59,3.631,862.8,22.67,1964.4,4364.75,3.047,33961.0,1694.3,101.2890625,105.0859375,107.484375,112.9375,116.875,2.1584,2.1333
5.28,5.029,5.432,4.647,4.634,4.975,4.779,5.33,15.34,14283.63,82.675,33.53,101.07,175.03,68.51,60.02,125.54,158.53,15.34,17.26,14.51,0.928891,1.096718,-322,-112.0,-410.0,-11,400,-13376594.0,0.06293266205160478,0.8934939759036145,6.747983217388102,-460.0,-1015.0,0.631187165775401,0.6381,1.2228,0.72455,1.06865,0.006647,1.11125,75.54,75.59,3.631,862.5,22.67,1964.4,4365.25,3.047,33967.0,1694.3,101.2890625,105.0859375,107.484375,112.9375,116.875,2.1584,2.1329
5.28,5.029,5.432,4.647,4.634,4.975,4.779,5.33,15.34,14283.63,82.675,33.53,101.07,175.03,68.51,60.02,125.54,158.53,15.34,17.26,14.51,0.928891,1.096718,-322,-112.0,-410.0,-11,400,-13376594.0,0.06293266205160478,0.8934939759036145,6.747983217388102,-460.0,-1015.0,0.631187165775401,0.6381,1.2228,0.72455,1.06865,0.006647,1.11125,75.55,75.59,3.631,862.5,22.675,1964.5,4365.25,3.047,33967.0,1694.3,101.2890625,105.0859375,107.484375,112.9375,116.90625,2.1584,2.1329
5.28,5.029,5.432,4.647,4.634,4.975,4.777,5.33,15.34,14283.54,82.67,33.53,101.06,175.02,68.51,60.02,125.54,158.52,15.34,17.26,14.51,0.928891,1.096718,-322,-105.0,-472.0,-11,400,-13395387.0,0.06291286568103177,0.8934939759036145,6.747172049058137,-460.0,-1018.0,0.6309329056402032,0.63815,1.2228,0.72455,1.0687,0.0066475,1.1112,75.55,75.58,3.631,862.3,22.675,1964.5,4365.75,3.047,33969.0,1694.4,101.2890625,105.0859375,107.484375,112.9375,116.90625,2.1584,2.1329
5.28,5.029,5.432,4.647,4.634,4.975,4.777,5.33,15.34,14283.06,82.67,33.53,101.06,175.0,68.51,60.0,125.54,158.52,15.34,17.26,14.51,0.928891,1.096718,-322,-147.0,-570.0,-11,400,-13434241.0,0.06291286568103177,0.8934939759036145,6.74963503649635,-458.0,-1029.0,0.6309329056402032,0.63815,1.2228,0.72455,1.06875,0.0066475,1.1112,75.55,75.58,3.631,862.3,22.675,1964.5,4366.0,3.047,33969.0,1694.6,101.2890625,105.0859375,107.484375,112.96875,116.9375,2.1584,2.1329
5.28,5.029,5.432,4.647,4.634,4.978,4.777,5.33,15.36,14283.0,82.68,33.53,101.06,175.02,68.5,60.01,125.54,158.52,15.36,17.26,14.51,0.927491,1.096563,-322,-166.0,-561.0,-11,400,-13457288.0,0.06291286568103177,0.8934939759036145,6.749667172259612,-459.0,-1038.0,0.6307642971672902,0.6382,1.2228,0.72455,1.06875,0.0066475,1.1112,75.54,75.58,3.631,862.4,22.675,1964.6,4366.0,3.047,33969.0,1694.5,101.2890625,105.0859375,107.484375,112.96875,116.9375,2.1584,2.1329
